2025-03-08T14:04:11.026 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:11.027 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:11.030 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:11.031 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:11.143 +0530 [V]  - lastNotificationReceivedTime = 1741422851142, INFO
2025-03-08T14:04:11.170 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:11.172 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:11.174 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:11.174 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:11.177 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:11.177 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:11.180 +0530 [V]  - Notification: id-2131493407, Duplicate Notification, package-com.transsnet.store, title-Strategy & Tactics: WW2, text-Tap Install, flags-16, INFO
2025-03-08T14:04:11.568 +0530 [V]  - lastNotificationReceivedTime = 1741422851567, INFO
2025-03-08T14:04:11.570 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:11.575 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:11.575 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:11.584 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:11.584 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:11.592 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:12.029 +0530 [V]  - lastNotificationReceivedTime = 1741422852029, INFO
2025-03-08T14:04:12.035 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:12.040 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:12.046 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:12.046 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:12.059 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:12.059 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:12.154 +0530 [V]  - lastNotificationReceivedTime = 1741422852149, INFO
2025-03-08T14:04:12.159 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:12.173 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:12.173 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:12.173 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:12.174 +0530 [V]  - maySetupMediaSessionController active, INFO
